,age_group,education,gender,nationality,electoral_district,unit,n
303,25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,300
304,25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,129
305,25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,141
306,25-34,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,918
307,25-34,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,299
308,25-34,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,353
309,25-34,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,957
310,25-34,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,230
311,25-34,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,495
312,25-34,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,930
313,25-34,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,214
314,25-34,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,581
315,25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,628
316,25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,177
317,25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,358
318,25-34,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1814
319,25-34,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,580
320,25-34,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,975
321,25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,793
322,25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,279
323,25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,418
324,25-34,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,2595
325,25-34,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,724
326,25-34,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1501
327,25-34,Secondary education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,1190
328,25-34,Higher education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,288
329,25-34,Basic education,Male,Estonian,Harju- ja Raplamaa,Raplamaa,609
330,25-34,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1023
331,25-34,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,434
332,25-34,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,551
333,25-34,Secondary education,Male,Estonian,Tartu linn,Tartu linn,2564
334,25-34,Higher education,Male,Estonian,Tartu linn,Tartu linn,1983
335,25-34,Basic education,Male,Estonian,Tartu linn,Tartu linn,1058
336,25-34,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,2149
337,25-34,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,944
338,25-34,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Tartumaa,962
339,25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,744
340,25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,215
341,25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,452
342,25-34,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,1628
343,25-34,Higher education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,429
344,25-34,Basic education,Male,Estonian,Järva- ja Viljandimaa,Viljandimaa,874
345,25-34,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,1229
346,25-34,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,417
347,25-34,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,566
348,25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,453
349,25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,288
350,25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,80
351,25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,240
352,25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,163
353,25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,35
354,25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,153
355,25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,104
356,25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,41
357,25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1641
358,25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,722
359,25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,344
360,25-34,Secondary education,Male,Other,Mustamäe ja Nõmme,Mustamäe,583
361,25-34,Higher education,Male,Other,Mustamäe ja Nõmme,Mustamäe,359
362,25-34,Basic education,Male,Other,Mustamäe ja Nõmme,Mustamäe,132
363,25-34,Secondary education,Male,Other,Mustamäe ja Nõmme,Nõmme,83
364,25-34,Higher education,Male,Other,Mustamäe ja Nõmme,Nõmme,29
365,25-34,Basic education,Male,Other,Mustamäe ja Nõmme,Nõmme,17
366,25-34,Secondary education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,53
367,25-34,Higher education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,57
368,25-34,Basic education,Male,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,10
369,25-34,Secondary education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,522
370,25-34,Higher education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,206
371,25-34,Basic education,Male,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,143
372,25-34,Secondary education,Male,Other,Harju- ja Raplamaa,Harjumaa,562
373,25-34,Higher education,Male,Other,Harju- ja Raplamaa,Harjumaa,254
374,25-34,Basic education,Male,Other,Harju- ja Raplamaa,Harjumaa,198
375,25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
376,25-34,Secondary education,Male,Other,Ida-Virumaa,Ida-Virumaa,1833
377,25-34,Higher education,Male,Other,Ida-Virumaa,Ida-Virumaa,502
378,25-34,Basic education,Male,Other,Ida-Virumaa,Ida-Virumaa,460
379,25-34,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,47
380,25-34,Higher education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,9
381,25-34,Basic education,Male,Other,Jõgeva- ja Tartumaa,Jõgevamaa,16
382,25-34,Secondary education,Male,Other,Järva- ja Viljandimaa,Järvamaa,8
383,25-34,Higher education,Male,Other,Järva- ja Viljandimaa,Järvamaa,4
384,25-34,Basic education,Male,Other,Järva- ja Viljandimaa,Järvamaa,9
385,25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,22
386,25-34,Higher education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
387,25-34,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,11
388,25-34,Secondary education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,87
389,25-34,Higher education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,8
390,25-34,Basic education,Male,Other,Lääne-Virumaa,Lääne-Virumaa,50
391,25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,15
392,25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,4
393,25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,6
394,25-34,Secondary education,Male,Other,Pärnumaa,Pärnumaa,118
395,25-34,Higher education,Male,Other,Pärnumaa,Pärnumaa,21
396,25-34,Basic education,Male,Other,Pärnumaa,Pärnumaa,52
397,25-34,Secondary education,Male,Other,Harju- ja Raplamaa,Raplamaa,9
398,25-34,Higher education,Male,Other,Harju- ja Raplamaa,Raplamaa,2
399,25-34,Basic education,Male,Other,Harju- ja Raplamaa,Raplamaa,12
400,25-34,Secondary education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
401,25-34,Basic education,Male,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,1
402,25-34,Secondary education,Male,Other,Tartu linn,Tartu linn,263
403,25-34,Higher education,Male,Other,Tartu linn,Tartu linn,111
404,25-34,Basic education,Male,Other,Tartu linn,Tartu linn,165
405,25-34,Secondary education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,95
406,25-34,Higher education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,34
407,25-34,Basic education,Male,Other,Jõgeva- ja Tartumaa,Tartumaa,61
408,25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,51
409,25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,14
410,25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,35
411,25-34,Secondary education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,9
412,25-34,Higher education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,4
413,25-34,Basic education,Male,Other,Järva- ja Viljandimaa,Viljandimaa,15
414,25-34,Secondary education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,34
415,25-34,Higher education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,4
416,25-34,Basic education,Male,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,9
417,25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,646
418,25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,1128
419,25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,129
420,25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,929
421,25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,2599
422,25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,167
423,25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,602
424,25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,1275
425,25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,112
426,25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1017
427,25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1283
428,25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,284
429,25-34,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1228
430,25-34,Higher education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,1950
431,25-34,Basic education,Female,Estonian,Mustamäe ja Nõmme,Mustamäe,279
432,25-34,Secondary education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,508
433,25-34,Higher education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,1003
434,25-34,Basic education,Female,Estonian,Mustamäe ja Nõmme,Nõmme,106
435,25-34,Secondary education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,174
436,25-34,Higher education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,420
437,25-34,Basic education,Female,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,24
438,25-34,Secondary education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,986
439,25-34,Higher education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,2029
440,25-34,Basic education,Female,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,207
441,25-34,Secondary education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,2981
442,25-34,Higher education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,4216
443,25-34,Basic education,Female,Estonian,Harju- ja Raplamaa,Harjumaa,789
444,25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,190
445,25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,176
446,25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,54
447,25-34,Secondary education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,530
448,25-34,Higher education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,480
449,25-34,Basic education,Female,Estonian,Ida-Virumaa,Ida-Virumaa,127
450,25-34,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,672
451,25-34,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,463
452,25-34,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,251
453,25-34,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,659
454,25-34,Higher education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,428
455,25-34,Basic education,Female,Estonian,Järva- ja Viljandimaa,Järvamaa,329
456,25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,457
457,25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,319
458,25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,175
459,25-34,Secondary education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1227
460,25-34,Higher education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,1016
461,25-34,Basic education,Female,Estonian,Lääne-Virumaa,Lääne-Virumaa,474
462,25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,608
463,25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,440
464,25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,170
465,25-34,Secondary education,Female,Estonian,Pärnumaa,Pärnumaa,2154
466,25-34,Higher education,Female,Estonian,Pärnumaa,Pärnumaa,1440
467,25-34,Basic education,Female,Estonian,Pärnumaa,Pärnumaa,701
468,25-34,Secondary education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,841
469,25-34,Higher education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,548
470,25-34,Basic education,Female,Estonian,Harju- ja Raplamaa,Raplamaa,292
471,25-34,Secondary education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,852
472,25-34,Higher education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,694
473,25-34,Basic education,Female,Estonian,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,236
474,25-34,Secondary education,Female,Estonian,Tartu linn,Tartu linn,1736
475,25-34,Higher education,Female,Estonian,Tartu linn,Tartu linn,3115
476,25-34,Basic education,Female,Estonian,Tartu linn,Tartu linn,507
477,25-34,Secondary education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1540
478,25-34,Higher education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,1872
479,25-34,Basic education,Female,Estonian,Jõgeva- ja Tartumaa,Tartumaa,415
480,25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,527
481,25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,407
482,25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Valgamaa,182
483,25-34,Secondary education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,1074
484,25-34,Higher education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,834
485,25-34,Basic education,Female,Estonian,Järva- ja Viljandimaa,Viljandimaa,477
486,25-34,Secondary education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,912
487,25-34,Higher education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,627
488,25-34,Basic education,Female,Estonian,"Võru-, Valga- ja Põlvamaa",Võrumaa,241
489,25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,396
490,25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,546
491,25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,60
492,25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,198
493,25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,350
494,25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,24
495,25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,117
496,25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,175
497,25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,26
498,25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1417
499,25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1502
500,25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,264
501,25-34,Secondary education,Female,Other,Mustamäe ja Nõmme,Mustamäe,421
502,25-34,Higher education,Female,Other,Mustamäe ja Nõmme,Mustamäe,625
503,25-34,Basic education,Female,Other,Mustamäe ja Nõmme,Mustamäe,64
504,25-34,Secondary education,Female,Other,Mustamäe ja Nõmme,Nõmme,64
505,25-34,Higher education,Female,Other,Mustamäe ja Nõmme,Nõmme,70
506,25-34,Basic education,Female,Other,Mustamäe ja Nõmme,Nõmme,10
507,25-34,Secondary education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,45
508,25-34,Higher education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,114
509,25-34,Basic education,Female,Other,"Kesklinn, Lasnamäe ja Pirita",Pirita,6
510,25-34,Secondary education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,425
511,25-34,Higher education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,347
512,25-34,Basic education,Female,Other,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,79
513,25-34,Secondary education,Female,Other,Harju- ja Raplamaa,Harjumaa,450
514,25-34,Higher education,Female,Other,Harju- ja Raplamaa,Harjumaa,577
515,25-34,Basic education,Female,Other,Harju- ja Raplamaa,Harjumaa,115
516,25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
517,25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,1
518,25-34,Secondary education,Female,Other,Ida-Virumaa,Ida-Virumaa,1351
519,25-34,Higher education,Female,Other,Ida-Virumaa,Ida-Virumaa,1004
520,25-34,Basic education,Female,Other,Ida-Virumaa,Ida-Virumaa,258
521,25-34,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,22
522,25-34,Higher education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,20
523,25-34,Basic education,Female,Other,Jõgeva- ja Tartumaa,Jõgevamaa,6
524,25-34,Secondary education,Female,Other,Järva- ja Viljandimaa,Järvamaa,6
525,25-34,Higher education,Female,Other,Järva- ja Viljandimaa,Järvamaa,11
526,25-34,Basic education,Female,Other,Järva- ja Viljandimaa,Järvamaa,7
527,25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,18
528,25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
529,25-34,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,6
530,25-34,Secondary education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,58
531,25-34,Higher education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,29
532,25-34,Basic education,Female,Other,Lääne-Virumaa,Lääne-Virumaa,26
533,25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,5
534,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,5
535,25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Põlvamaa,7
536,25-34,Secondary education,Female,Other,Pärnumaa,Pärnumaa,95
537,25-34,Higher education,Female,Other,Pärnumaa,Pärnumaa,32
538,25-34,Basic education,Female,Other,Pärnumaa,Pärnumaa,25
539,25-34,Secondary education,Female,Other,Harju- ja Raplamaa,Raplamaa,15
540,25-34,Higher education,Female,Other,Harju- ja Raplamaa,Raplamaa,8
541,25-34,Basic education,Female,Other,Harju- ja Raplamaa,Raplamaa,13
542,25-34,Secondary education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
543,25-34,Higher education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,3
544,25-34,Basic education,Female,Other,"Hiiu-, Lääne- ja Saaremaa",Saaremaa,2
545,25-34,Secondary education,Female,Other,Tartu linn,Tartu linn,188
546,25-34,Higher education,Female,Other,Tartu linn,Tartu linn,221
547,25-34,Basic education,Female,Other,Tartu linn,Tartu linn,58
548,25-34,Secondary education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,69
549,25-34,Higher education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,48
550,25-34,Basic education,Female,Other,Jõgeva- ja Tartumaa,Tartumaa,29
551,25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,50
552,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,30
553,25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Valgamaa,23
554,25-34,Secondary education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,12
555,25-34,Higher education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,7
556,25-34,Basic education,Female,Other,Järva- ja Viljandimaa,Viljandimaa,2
557,25-34,Secondary education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,11
558,25-34,Higher education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,21
559,25-34,Basic education,Female,Other,"Võru-, Valga- ja Põlvamaa",Võrumaa,6
560,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,773
561,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,709
562,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Haabersti,175
563,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,1174
564,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,2052
565,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Kesklinn,248
566,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,754
567,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,836
568,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Kristiine,186
569,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,1140
570,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,619
571,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Lasnamäe,427
572,35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,1293
573,35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,924
574,35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Mustamäe,403
575,35-44,Secondary education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,822
576,35-44,Higher education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,916
577,35-44,Basic education,Male,Estonian,Mustamäe ja Nõmme,Nõmme,204
578,35-44,Secondary education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,313
579,35-44,Higher education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,438
580,35-44,Basic education,Male,Estonian,"Kesklinn, Lasnamäe ja Pirita",Pirita,74
581,35-44,Secondary education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1120
582,35-44,Higher education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,1312
583,35-44,Basic education,Male,Estonian,"Haabersti, Põhja-Tallinn ja Kristiine",Põhja-Tallinn,348
584,35-44,Secondary education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,5133
585,35-44,Higher education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,4040
586,35-44,Basic education,Male,Estonian,Harju- ja Raplamaa,Harjumaa,1889
587,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,266
588,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,79
589,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Hiiumaa,144
590,35-44,Secondary education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,723
591,35-44,Higher education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,219
592,35-44,Basic education,Male,Estonian,Ida-Virumaa,Ida-Virumaa,307
593,35-44,Secondary education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,700
594,35-44,Higher education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,187
595,35-44,Basic education,Male,Estonian,Jõgeva- ja Tartumaa,Jõgevamaa,464
596,35-44,Secondary education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,902
597,35-44,Higher education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,197
598,35-44,Basic education,Male,Estonian,Järva- ja Viljandimaa,Järvamaa,583
599,35-44,Secondary education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,500
600,35-44,Higher education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,185
601,35-44,Basic education,Male,Estonian,"Hiiu-, Lääne- ja Saaremaa",Läänemaa,321
602,35-44,Secondary education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,1657
603,35-44,Higher education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,485
604,35-44,Basic education,Male,Estonian,Lääne-Virumaa,Lääne-Virumaa,985
605,35-44,Secondary education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,694
606,35-44,Higher education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,201
607,35-44,Basic education,Male,Estonian,"Võru-, Valga- ja Põlvamaa",Põlvamaa,485
608,35-44,Secondary education,Male,Estonian,Pärnumaa,Pärnumaa,2516
609,35-44,Higher education,Male,Estonian,Pärnumaa,Pärnumaa,801
610,35-44,Basic education,Male,Estonian,Pärnumaa,Pärnumaa,1486
